file_name,median magnitude,parameters
adxl345-20240325_222523.csv,5593.587870001749,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=68_freq=38.5kHz
adxl345-20240325_222526.csv,5486.590312951935,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=69_freq=38.5kHz
adxl345-20240325_222528.csv,5719.073963235951,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=70_freq=38.5kHz
adxl345-20240325_222531.csv,5912.910872675824,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=71_freq=38.5kHz
adxl345-20240325_222534.csv,5740.006729235996,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=72_freq=38.5kHz
adxl345-20240325_222537.csv,6183.645880037501,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=73_freq=38.5kHz
adxl345-20240325_222540.csv,6428.884406171788,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=74_freq=38.5kHz
adxl345-20240325_222542.csv,6541.776079524064,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=75_freq=38.5kHz
adxl345-20240325_222545.csv,7088.9437750167235,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=76_freq=38.5kHz
adxl345-20240325_222548.csv,7679.000227753745,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=77_freq=38.5kHz
adxl345-20240325_222551.csv,7319.0191694439,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=78_freq=38.5kHz
adxl345-20240325_222554.csv,6661.089606484327,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=79_freq=38.5kHz
adxl345-20240325_222557.csv,5538.01683843829,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=80_freq=38.5kHz
adxl345-20240325_222600.csv,4651.426075961193,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=81_freq=38.5kHz
adxl345-20240325_222602.csv,4118.6139148214115,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=82_freq=38.5kHz
adxl345-20240325_222605.csv,3692.8882542380834,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=83_freq=38.5kHz
adxl345-20240325_222608.csv,3727.1434585263924,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=84_freq=38.5kHz
adxl345-20240325_222611.csv,3906.3490849741365,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=85_freq=38.5kHz
adxl345-20240325_222614.csv,3886.543910515685,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=86_freq=38.5kHz
adxl345-20240325_222617.csv,3825.4942204550343,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=87_freq=38.5kHz
adxl345-20240325_222620.csv,3526.7894476187644,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=88_freq=38.5kHz
adxl345-20240325_222623.csv,3249.273498787999,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=89_freq=38.5kHz
adxl345-20240325_222626.csv,2898.4630729016912,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=90_freq=38.5kHz
adxl345-20240325_222629.csv,2862.431902331892,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=91_freq=38.5kHz
adxl345-20240325_222631.csv,2626.469192291279,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=92_freq=38.5kHz
adxl345-20240325_222634.csv,3036.3846044484903,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=93_freq=38.5kHz
adxl345-20240325_222637.csv,3302.2576650097894,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=94_freq=38.5kHz
adxl345-20240325_222640.csv,3384.979453476057,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=95_freq=38.5kHz
adxl345-20240325_222643.csv,3429.663262566015,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=96_freq=38.5kHz
adxl345-20240325_222646.csv,3611.5474809393827,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=97_freq=38.5kHz
adxl345-20240325_222649.csv,4061.978379351606,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=98_freq=38.5kHz
adxl345-20240325_222652.csv,4702.424664263566,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=99_freq=38.5kHz
adxl345-20240325_222655.csv,5531.265340534883,current=2100_tbl=0_toff=4_hstrt=4_hend=0_tpfd=0_speed=100_freq=38.5kHz
