file_name,median magnitude,parameters
adxl345-20240326_155054.csv,1233.0509844676396,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=40_freq=23.1kHz
adxl345-20240326_155057.csv,1122.5326887699653,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=41_freq=23.1kHz
adxl345-20240326_155100.csv,1215.8834319291818,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=42_freq=23.1kHz
adxl345-20240326_155102.csv,1263.4686018962054,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=43_freq=23.1kHz
adxl345-20240326_155105.csv,1072.325248780695,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=44_freq=23.1kHz
adxl345-20240326_155108.csv,1069.115931355501,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=45_freq=23.1kHz
adxl345-20240326_155110.csv,1146.4426108713021,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=46_freq=23.1kHz
adxl345-20240326_155113.csv,1340.4572704969078,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=47_freq=23.1kHz
adxl345-20240326_155116.csv,1555.2060984234754,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=48_freq=23.1kHz
adxl345-20240326_155118.csv,1872.810667417671,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=49_freq=23.1kHz
adxl345-20240326_155121.csv,2584.83724210355,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=50_freq=23.1kHz
adxl345-20240326_155124.csv,4437.262910253362,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=51_freq=23.1kHz
adxl345-20240326_155126.csv,6072.953413544592,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=52_freq=23.1kHz
adxl345-20240326_155129.csv,10973.058558273775,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=53_freq=23.1kHz
adxl345-20240326_155132.csv,10838.793057301547,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=54_freq=23.1kHz
adxl345-20240326_155134.csv,8373.42355626134,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=55_freq=23.1kHz
adxl345-20240326_155137.csv,7220.379567589014,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=56_freq=23.1kHz
adxl345-20240326_155140.csv,7341.76799751094,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=57_freq=23.1kHz
adxl345-20240326_155142.csv,6266.745384391584,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=58_freq=23.1kHz
adxl345-20240326_155145.csv,5067.3564798530715,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=59_freq=23.1kHz
adxl345-20240326_155148.csv,3459.1808058387223,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=60_freq=23.1kHz
adxl345-20240326_155151.csv,2489.4518190548997,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=61_freq=23.1kHz
adxl345-20240326_155154.csv,2282.8912517306812,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=62_freq=23.1kHz
adxl345-20240326_155156.csv,2374.9631368395803,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=63_freq=23.1kHz
